"Code","SiteCode","Level","Pcode","Province_EN","Province_TH","Dcode","Distinct_EN","Distinct_TH","Scode","SubDistinct_EN","SubDistinct_TH","Zone","Name_TH","Name_EN","Htype","HType2","Hsize","P_Funded","Focus","Prioritization","CDC","NEAB","x","y"
"11360","11360","Site/Hospital","P84","Surat Thani","สุราษฎร์ธานี","8406","Chaiya","อ.ไชยา","840601",NULL,NULL,"Z11","รพ.ไชยา","Chaiya","Public","District H","M","Add-on GF","Non-PF",NULL,NULL,NULL,"99.207003967","9.3867108378"
"11361","11361","Site/Hospital","P84","Surat Thani","สุราษฎร์ธานี","8407","Tha Chana","อ.ท่าชนะ","840701",NULL,NULL,"Z11","รพ.ท่าชนะ","Thachana","Public","District H","SM","Add-on GF","Non-PF",NULL,NULL,NULL,"99.166181","9.598253"
"11362","11362","Site/Hospital","P84","Surat Thani","สุราษฎร์ธานี","8408","Khiri Rat Nikhom","อ.คีรีรัฐนิคม","840808",NULL,NULL,"Z11","รพ.คีรีรัฐนิคม","Khiri Ratthanikhom","Public","District H","SM","Add-on GF","Non-PF",NULL,NULL,NULL,"98.972704338","9.0212352433"
"11363","11363","Site/Hospital","P84","Surat Thani","สุราษฎร์ธานี","8409","Ban Ta Khun","อ.บ้านตาขุน","840901",NULL,NULL,"Z11","รพ.บ้านตาขุน","Ban Takhun","Public","District H","SM","Add-on GF","Non-PF",NULL,NULL,NULL,"98.8901122982864","8.914798108871"
"11364","11364","Site/Hospital","P84","Surat Thani","สุราษฎร์ธานี","8410","Phanom","อ.พนม","841005",NULL,NULL,"Z11","รพ.พนม","Phanom","Public","District H","SM","Add-on GF","Non-PF",NULL,NULL,NULL,"98.8188149946768","8.86515529363127"
"11365","11365","Site/Hospital","P84","Surat Thani","สุราษฎร์ธานี","8411","Tha Chang","อ.ท่าฉาง","841101",NULL,NULL,"Z11","รพ.ท่าฉาง","Thachang","Public","District H","SS","Add-on GF","Non-PF",NULL,NULL,NULL,"99.187875","9.25805"
"11366","11366","Site/Hospital","P84","Surat Thani","สุราษฎร์ธานี","8412","Ban Na San","อ.บ้านนาสาร","841201",NULL,NULL,"Z11","รพ.บ้านนาสาร","Ban Nasarn","Public","District H","M","Add-on GF","Non-PF",NULL,NULL,NULL,"99.367813","8.841974"
"11367","11367","Site/Hospital","P84","Surat Thani","สุราษฎร์ธานี","8413","Ban Na Doem","อ.บ้านนาเดิม","841301",NULL,NULL,"Z11","รพ.บ้านนาเดิม","Ban Naderm","Public","District H","SM","Add-on GF","Non-PF",NULL,NULL,NULL,"99.305636760149","8.89245971634311"
"11368","11368","Site/Hospital","P84","Surat Thani","สุราษฎร์ธานี","8414","Khian Sa","อ.เคียนซา","841401",NULL,NULL,"Z11","รพ.เคียนซา","Kiencha","Public","District H","SM","Add-on GF","Non-PF",NULL,NULL,NULL,"99.1608248270531","8.83470730077207"
"11369","11369","Site/Hospital","P84","Surat Thani","สุราษฎร์ธานี","8416","Phrasaeng","อ.พระแสง","841601",NULL,NULL,"Z11","รพ.พระแสง","Prasang","Public","District H","M","Add-on GF","Non-PF",NULL,NULL,NULL,"99.2431433627932","8.5723704035503"
"11370","11370","Site/Hospital","P84","Surat Thani","สุราษฎร์ธานี","8417","Phunphin","อ.พุนพิน","841701",NULL,NULL,"Z11","รพ.พุนพิน","Punpin","Public","District H","M","Add-on GF","Non-PF",NULL,NULL,NULL,"99.2322033849258","9.1055781190593"
"11371","11371","Site/Hospital","P84","Surat Thani","สุราษฎร์ธานี","8418","Chai Buri","อ.ชัยบุรี","841801",NULL,NULL,"Z11","รพ.ชัยบุรี","Chaiyaburi","Public","District H","SM","Add-on GF","Non-PF",NULL,NULL,NULL,"99.0806340668602","8.46956006015941"
